0.00135962   8.945812789786104e-19   0.312414   -2.75291   1.07345e-22   0.523599   3.5621656   3.0581565    
0.0035125   2.78570005589649e-17   0.816989   -1.13534   3.2957e-23   1.5063286   2.86122495   3.1855139    
0.00261301   2.9056284225125464e-17   0.101404   1.76872   1.66997e-22   1.51669   3.80372815   3.12184095    
0.00181324   2.0497399513551e-18   0.0865683   -2.18009   1.76276e-22   0.523599   3.61909315   2.97459105    
0.00322061   1.7458669122355795e-17   -0.354825   0.4297   5.35906e-23   1.6169347   2.53292165   2.84090075    
0.00622028   7.485285541230417e-16   -0.082205   2.10225   6.37823e-23   0.645772   2.91617795   3.1716561    
0.00194414   6.489725781338724e-18   0.653451   2.97387   1.50933e-22   0.750492   2.1172363545   3.00689165    
0.00125313   9.159587298288947e-19   -0.529009   -2.51031   1.36368e-22   0.244346   2.229426357   2.64414439    
0.0016835   2.271208241747116e-18   0.490263   2.28603   7.39547e-23   1.67948105   3.0559403   3.5798008    
0.00166667   2.1890588957678234e-18   0.490263   2.28603   7.34608e-23   1.22173   3.0446618   3.2219877    
